text,label
경증 호흡곤란을 겪고 있는 환자는 숨이 약간 가쁘고 불안한 모습입니다.,3
열이 나고 아파 보이는 환자는 SIRS 기준에 미치지 않는 경미한 증상을 보이고 있습니다.,3
경미한 불안이나 초조함을 느끼지만 비교적 안정되어 있는 상태,4
열이 나지만 건강해 보이며 감염의 가벼운 징후만 있는 상태,4
경증의 불안과 초조함을 느끼지만 비교적 안정된 상태,4
갑작스러운 불면증으로 인해 잠을 이루지 못하는 상태,4
"열이 나지만 건강해 보이며, 경미한 감염 증상이 있는 상태",4
경미한 불안과 초조함을 느끼지만 비교적 안정된 상태,4
경미한 불안이나 초조함을 느끼지만 안정된 상태,4
건강해 보이지만 열이 나고 가벼운 감염의 징후가 있는 상태,4
경미한 불안과 초조함을 느끼지만 안정된 상태,4
환자가 우울한 상태이지만 자살 생각은 없는 안정된 상태,4
대처하기 어려운 상황에 놓여 있는 환자,4
해를 끼치지 않는 행동을 보이는 안정된 상태의 환자,4
학대의 병력이나 징후를 보이는 환자,4
"열(건강해보임) 상태로, 1 SIRS 기준을 만족하는 환자입니다.",4
"만성적인 상태로, 평상시와 변화가 없는 환자입니다.",4
"급성 중심성 경증 통증(<4)을 경험하는 환자이며, 통증이 경미합니다.",4
"만성 중심성 중등도 통증(4-7)을 겪고 있는 환자로, 지속적인 불편함이 있습니다.",4
"급성 중심성 경증 통증(<4)을 겪고 있는 환자로, 통증이 경미합니다.",4
"의식소실의 병력이 없는 환자로, 상태가 비교적 안정적입니다.",4
"열이 나고 건강해 보이는 상태로, 1 SIRS 기준을 만족하는 환자입니다.",4
경미한 말초성 통증(<4)을 느끼는 환자,5
만성 말초성 통증(<8)을 호소하는 환자,5
상지의 만성 경미한 통증을 호소하는 환자,5
급성 말초성 경증 통증(<4)을 느끼는 환자,5
하지의 만성 경미한 통증을 호소하는 환자,5
상지의 외상으로 만성 경증 통증을 호소하는 환자,5
하지의 외상으로 만성 경증 통증을 호소하는 환자,5
급성 말초성 경증 통증이 있어 환자가 약간의 불편함을 느끼는 상태,5
만성 말초성 통증이 있지만 심각하지 않으며 환자가 이를 견디고 있는 상태,5
동상이나 냉손상으로 인해 피부가 손상된 환자,5
경미한 물림으로 인해 불편함을 겪고 있는 환자,5
쏘임으로 인해 불편함을 겪고 있는 환자,5
경미한 찰과상으로 인해 환자가 약간의 불편함을 겪고 있는 상태,5
봉합이 필요 없는 상태로 환자가 경미한 상처를 가진 경우,5
화상이 있으며 경미한 통증을 느끼는 환자,5
급성 말초성 경증 통증(<4)로 인해 환자가 약간의 불편함을 느끼는 상태,5
피부에 이물질이 있어 환자가 불편함을 느끼는 상태,5
상처를 확인해야 하는 상태로 환자의 상태를 평가 중인 경우,5
"스테이플이나 봉합사를 제거해야 하는 상태로, 환자의 상태를 평가하는 중인 경우",5
"국소성 발진이 나타난 환자로, 추가적인 평가가 필요한 상태",5
환자가 심한 두통과 어지럼증으로 인해 쓰러질 위험이 있음,3
어지럼증과 두통으로 환자가 균형을 잡지 못하는 상태,3
두통과 어지럼증을 겪으며 환자가 쓰러질 위험에 처함,3
환자가 두통과 심각한 어지럼증으로 움직이지 못하는 상태,3
어지럼증과 두통으로 환자가 균형을 잃고 쓰러질 가능성 있음,3
환자가 심각한 어지럼증과 두통으로 위험에 처한 상태,3
두통과 어지럼증이 심하여 환자가 균형을 잡지 못함,3
심한 두통과 어지럼증으로 환자가 쓰러질 위험에 있음,3
환자가 어지럼증과 두통 증세로 인해 움직이기 힘든 상태,3
심각한 두통과 어지럼증으로 인해 환자가 쓰러질 가능성이 높음,3
환자가 심한 두통과 어지럼증으로 고통을 호소함,3
어지럼증으로 환자가 균형을 잃고 쓰러질 위험에 놓임,3
환자가 두통과 어지럼증으로 인해 균형을 잡지 못함,3
심각한 두통과 어지럼증으로 인해 환자가 위험에 처함,3
환자가 두통과 어지럼증을 호소하며 쓰러질 가능성이 있음,3
어지럼증과 두통으로 인해 환자가 균형을 잃은 상태,3
환자가 어지럼증으로 인해 균형을 잃고 쓰러질 위험에 있음,3
심한 두통 증세로 환자가 움직이기 어려운 상태,3
두통과 어지럼증이 심각하여 환자가 쓰러질 가능성이 있음,3
환자가 심각한 두통과 어지럼증으로 인해 움직이지 못하는 상태,3
환자가 고열로 인해 의식이 흐려지고 혼란스러운 상태에 있음,4
의식이 또렷하지 않고 고열로 인해 혼란스러운 환자의 상태,4
혼란스러운 상태로 고열로 인해 의식이 흐려진 환자,4
환자가 고열로 인해 의식이 불분명하고 혼란스러운 상태를 보임,4
의식이 흐려지고 고열로 혼란을 겪는 환자 상태,4
고열로 인해 의식이 흐려지고 혼란스러운 상태의 환자,4
혼란스러워하며 고열로 인해 의식이 불명확한 환자,4
환자가 고열로 인해 혼란스러워하며 의식이 흐려짐,4
혼란스러운 상태로 고열로 인해 의식이 불분명한 환자,4
환자가 고열로 인해 의식이 또렷하지 않고 혼란스러움,4
의식이 명확하지 않고 고열로 혼란을 겪는 환자의 상태,4
환자가 고열로 인해 의식이 흐려지고 혼란을 보이는 상태,4
고열로 인해 환자가 혼란스러운 상태에 빠져 있음,4
환자가 고열로 인해 의식이 명확하지 않은 상태를 보임,4
혼란스러운 상태와 함께 고열로 인해 환자의 의식이 흐려짐,4
고열로 인해 혼란스러운 상태에 빠진 환자,4
혼란스러워하며 의식이 불분명한 상태의 환자,4
의식이 흐리고 고열로 인해 혼란스러운 환자의 상태,4
환자가 고열로 인해 의식이 불분명하며 혼란스러워함,4
심각한 탈수 증세로 피부가 건조하고 눈이 움푹 들어간 상태,5
탈수로 인해 피부가 거칠고 눈이 함몰된 상태를 보임,5
피부가 건조하며 탈수로 인해 눈이 움푹 들어간 환자 상태,5
환자가 탈수로 인해 피부 건조와 눈 함몰 증상을 보임,5
탈수로 인해 피부가 건조하고 눈이 움푹 들어간 상태의 환자,5
환자가 심각한 탈수로 인해 눈이 움푹 들어가고 피부가 건조함,5
탈수 증세로 인해 피부가 건조하고 눈이 함몰된 환자의 상태,5
환자가 심각한 탈수로 피부가 건조하며 눈이 움푹 들어간 모습,5
탈수 증세로 인해 피부가 메마르고 눈이 움푹 들어간 상태,5
심한 탈수로 환자의 피부가 건조하며 눈이 함몰됨,5
환자가 심각한 탈수 증세로 눈이 움푹 들어가고 피부가 건조함,5
탈수로 인해 환자의 눈이 함몰되고 피부가 건조한 상태,5
피부 건조와 눈 함몰 증세를 보이며 탈수 상태에 있는 환자,5
환자가 심각한 탈수로 인해 피부와 눈 상태가 악화됨,5
탈수 증세로 인해 피부가 거칠고 눈이 움푹 들어간 상태,5
환자가 심한 탈수로 인해 피부가 건조하고 눈이 함몰된 모습,5
탈수로 인해 환자의 피부와 눈 상태가 악화된 상태,5
환자가 탈수로 인해 심각한 피부 건조와 눈 함몰 증세를 보임,5
심한 탈수 증세로 인해 피부와 눈 상태가 악화된 환자의 모습,5
심한 호흡곤란 상태로 숨을 쉬지 못하고 피부색이 변함,1
환자가 숨쉬기 어려워하며 피부가 푸르게 변색된 상태,1
푸르스름한 피부와 심각한 호흡곤란 증세를 보이는 환자,1
호흡곤란으로 환자의 숨쉬기가 어려운 상태,1
피부가 푸르스름하고 호흡곤란 증세를 겪는 환자,1
환자가 숨을 쉬기 어려워하며 피부가 변색된 상태,1
푸르스름한 피부와 호흡곤란 증세가 심각한 상태,1
호흡곤란으로 인해 숨쉬기 어려운 환자 상태,1
숨쉬기 어려워하며 푸른 피부색을 보이는 환자,1
환자가 심각한 호흡곤란으로 인해 고통스러워하는 모습,1
푸르스름한 피부색과 함께 호흡이 힘든 환자의 상태,1
환자가 숨을 제대로 쉬지 못해 피부가 푸르게 변색됨,1
심각한 호흡 문제로 환자가 푸르스름한 피부를 보임,1
호흡곤란 증세로 환자의 피부가 변색된 상태,1
환자가 숨을 힘들게 쉬며 피부가 푸른빛을 띰,1
푸른 피부와 숨쉬기 어려운 증상을 보이는 환자,1
환자가 호흡곤란으로 인해 피부색이 변한 상태,1
심각한 호흡곤란으로 환자가 숨쉬기 힘든 상황,1
호흡곤란과 푸른 피부색을 동반한 환자의 상태,1
숨을 쉬기 어려워하며 환자가 심각한 호흡곤란 피부가 푸르스름하게 변색된 상태,1
환자가 얼굴이 창백하고 식은땀을 흘리며 맥박이 거의 잡히지 않음,2
쇼크 상태에서 맥박이 약하고 얼굴이 창백한 환자,2
맥박이 약하며 식은땀을 흘리고 있는 환자 상태,2
환자가 창백한 얼굴과 약한 맥박으로 쇼크 상태에 있음,2
쇼크로 인해 얼굴이 창백하고 식은땀이 많은 환자,2
맥박이 거의 없는 상태에서 환자가 식은땀을 흘림,2
환자의 얼굴이 창백하고 맥박이 약한 쇼크 상태,2
쇼크 상태로 인해 환자가 창백한 얼굴과 식은땀을 보임,2
맥박이 약하고 식은땀이 흐르는 쇼크 상태의 환자,2
창백한 얼굴을 보이며 식은땀과 약한 맥박이 있는 환자,2
환자가 쇼크로 인해 맥박이 약하고 얼굴이 창백함,2
식은땀을 흘리며 쇼크 상태에서 맥박이 약한 환자,2
얼굴이 창백하고 식은땀이 많은 쇼크 상태의 환자,2
쇼크로 인해 환자가 얼굴이 창백하고 맥박이 약해짐,2
환자가 식은땀과 창백한 얼굴을 보이며 쇼크 상태에 있음,2
쇼크 상태의 환자가 맥박이 약하고 얼굴이 창백한 모습,2
환자가 식은땀과 약한 맥박으로 쇼크 상태에 빠짐,2
맥박이 약하고 창백한 얼굴을 보이는 환자의 상태,2
쇼크 상태로 인해 환자가 얼굴이 창백하고 식은땀을 흘림,2
환자가 맥박이 거의 잡히지 않고 창백한 얼굴로 쇼크 상태임,2
"안녕하세요, 지금 제 아버지가 어제부터 손목이 약간 부어있고 통증이 있습니다. 특별히 어디에 부딪힌 기억은 없는데, 많이 아파하시긴 해요. 응급실로 가야 할까요?",5
제 아이가 놀다가 무릎을 다쳤어요. 피가 조금 나긴 했지만 크게 다치진 않았어요. 그래도 응급실로 가야 할까요?,5
저희 할머니가 허리를 삐끗하신 것 같아요. 많이 아프시다고 하시는데 움직일 수는 있어요,5
제가 손가락에 가시가 박혔는데 빼기가 힘들어요. 피도 조금 나고요. 이걸로 응급실 가야 할까요?,5
제 남편이 갑자기 발목을 삔 것 같아요. 많이 붓긴 했는데 걷기는 가능한 상태입니다.,5
"제 친구가 자전거 타다가 넘어졌어요. 무릎이 좀 까졌고 피가 납니다만, 특별한 문제는 없어 보여요.",5
아이 손에 뜨거운 물이 조금 튀었어요. 약간의 물집이 생겼는데 아이가 많이 울어요.,5
어머니가 무릎이 계속 아프시다고 하셔서 걱정이 됩니다. 며칠째 통증이 있으신데 응급실에 가야 할까요?,5
"저희 아이가 놀이터에서 미끄러져서 손바닥을 다쳤어요. 피가 조금 나는데, 움직이긴 합니다.",5
"제 아내가 문에 손가락이 끼였어요. 손가락이 부어오르고 약간의 통증이 있지만, 움직이는 데 문제는 없습니다.",5
"안녕하세요, 저희 어머니가 갑자기 가슴 통증을 호소하시고 땀을 많이 흘리고 계십니다. 숨이 조금 가쁘신 것 같아요.",4
"저희 아이가 갑자기 복통을 호소해요. 배가 많이 아프다고 하고, 계속 웅크리고 있어요. 구토는 아직 없지만 매우 불편해 합니다.",4
어머니가 손목을 심하게 삐신 것 같아요. 붓기도 심하고 손을 전혀 움직이지 못하세요.,4
아내가 두통과 어지럼증이 심하다고 해요. 약을 드셨는데도 증상이 나아지지 않습니다. 지금 계속 누워 있어야 해요.,4
"저희 아버지가 어제부터 계속 토하고 계세요. 물도 드시기 힘들어하고, 탈수 증상이 있는 것 같습니다.",4
제 남편이 운동 중에 발목을 삐었는데 걷기가 매우 어렵다고 합니다. 발목이 많이 부어 있고 통증도 심해 보입니다.,4
"아이의 열이 너무 높아요. 지금 39도가 넘었고, 해열제를 먹였는데도 열이 떨어지지 않습니다.",4
"저희 할아버지가 갑자기 혼동 상태가 오신 것 같아요. 말씀도 이상하게 하시고, 길을 잃은 듯한 행동을 하십니다.",4
"제 친구가 자전거를 타다가 넘어졌는데, 손목 쪽이 아프다고 하고 붓기 시작했어요. 아픈 쪽에 체중을 싣지 못합니다.",4
"어머니가 어지럼증과 구토를 겪고 계세요. 전에는 없던 증상이고, 움직이기 어려워 하십니다.",4
저희 아버지가 갑자기 가슴이 답답하다고 하십니다. 숨쉬기 어렵다고 말씀하시고 식은땀을 많이 흘리고 있어요.,3
제 친구가 갑자기 입술이 푸르스름해지고 숨을 잘 못 쉬는 것 같아요. 천식이 있는 친구입니다.,3
우리 아이가 갑자기 고열이 나면서 경련을 일으켰습니다. 열이 40도에 가깝고 몸이 떨리고 있어요.,3
제 동생이 다리에 깊은 상처를 입었어요. 출혈이 멈추지 않고 피가 계속 납니다. 너무 아파하고 있어요.,3
어머니가 갑자기 팔과 다리에 힘이 없고 한쪽 얼굴이 처지는 것 같아요. 말씀도 이상하게 하십니다.,3
아이가 두통이 너무 심하고 구토를 계속합니다. 밝은 빛을 보지 못하고 눈도 잘 못 뜨겠다고 해요.,3
제 남편이 사고로 머리를 부딪혔어요. 의식은 있지만 계속 혼란스러워 하고 두통을 호소합니다.,3
우리 할아버지가 갑자기 소변을 못 보시고 복부가 많이 아프다고 하세요. 배가 부풀어 올랐습니다.,3
친구가 갑자기 숨을 헐떡이고 있어요. 아무 이유 없이 갑자기 시작되었고 얼굴도 창백해요.,3
어머니가 갑자기 심한 복통을 호소하시고 움직이질 못하세요. 배를 만지면 더 아파하십니다.,3
저희 아버지가 갑자기 가슴이 매우 아프다고 하고 숨을 쉴 수 없다고 하세요. 얼굴도 창백해지고 식은땀이 나고 있습니다.,2
어머니가 갑자기 호흡이 빨라지고 입술이 파래졌습니다. 가슴이 답답하고 통증이 있다고 하십니다.,2
"제 동생이 교통사고를 당했어요. 의식은 있지만 반응이 느리고, 복부 쪽에 통증을 호소하고 있어요. 출혈도 있습니다.",2
저희 할머니가 갑자기 한쪽 팔과 다리에 감각이 없습니다. 얼굴도 마비된 것처럼 움직이지 않으세요.,2
친구가 음식물을 먹다가 숨을 못 쉬고 있어요. 기침을 시도하고 있는데 호흡이 매우 힘들어 보입니다.,2
우리 아버지가 뜨거운 물에 데이셨어요. 피부가 빨갛고 큰 물집이 생기기 시작합니다.,2
저희 아이가 약을 잘못 먹었어요. 지금 갑자기 의식이 흐려지고 몸이 축 처집니다.,2
남편이 갑자기 쓰러졌어요. 의식은 있는데 전혀 반응이 없고 말도 잘 못하세요.,2
"어머니가 계단에서 넘어지셨습니다. 머리를 부딪히고 의식이 잠시 없으셨는데, 지금도 혼란스러워하고 있습니다.",2
"저희 친구가 알레르기 반응으로 온몸에 두드러기가 나고, 목이 부어오르고 있어요.",2
어떤 분이 길에서 갑자기 쓰러졌어요! 의식이 없고 숨을 쉬지 않는 것 같습니다!,1
제 아내가 물에 빠져 의식이 없습니다. 숨도 쉬지 않는 것 같아요!,1
"저희 아버지가 갑자기 심장이 멈춘 것 같아요. 숨도 안 쉬고, 맥박도 느껴지지 않습니다!",1
제 친구가 뭔가를 먹고 나서 갑자기 목이 막힌 것 같습니다. 숨을 전혀 쉬지 못하고 얼굴이 파래요!,1
"제 남편이 전기 감전 후 의식을 잃었습니다. 숨도 쉬지 않고, 반응이 전혀 없습니다!",1
사고 현장인데 한 사람이 큰 외상을 입고 의식이 없습니다. 숨을 쉬지 않는 것 같습니다.,1
아이가 갑자기 숨을 쉬지 않고 의식이 없습니다. 몸이 축 처져 있어요.,1
저희 어머니가 갑자기 숨이 멈추신 것 같습니다. 맥박도 느껴지지 않고 얼굴이 하얗게 변했습니다.,1
제 동생이 놀다가 갑자기 쓰러졌어요. 숨을 전혀 쉬지 않고 반응이 없습니다.,1
사람이 고속도로에서 사고가 났어요. 의식이 없고 숨을 쉬지 않는 것 같아요!,1
물질을 과다복용한 후 중증 호흡곤란 증세를 보입니다. 빠르게 도움을 요청합니다.,1
쇼크 상태에 빠졌습니다. 즉시 응급차가 필요합니다.,1
"이 사람은 의식이 없어서 깨어 있지 못한 상태입니다. 상태를 평가하는 점수로 볼 때, 의식이 매우 낮거나 전혀 없는 상황이에요.",1
물질 금단 증세로 인해 경련 중입니다. 응급처치가 필요합니다.,1
호흡곤란과 쇼크가 동반된 상태입니다.,1
중증 호흡곤란으로 인해 의식이 점점 희미해지고 있습니다.,1
무의식 상태로 발견되었습니다. 생명에 위협이 있는 상황입니다.,1
갑작스러운 쇼크 증상이 발생했습니다. 긴급 구조 요청합니다.,1
중증 호흡곤란으로 인해 숨을 제대로 쉬지 못하고 있습니다.,1
경련을 동반한 금단 증상이 나타나고 있습니다. 즉시 지원 바랍니다.,1
호흡곤란이 중등도 수준으로 나타나고 있습니다,2
혈압이 비정상적이며 혈역학적 장애 증세가 있습니다.,2
"이 사람은 의식이 조금 흐릿하거나 혼란스러워 보입니다. 상태를 점수로 평가해 보면, 완전히 깨어 있지는 않지만 심각한 혼수 상태는 아니에요.",2
고열과 면역 억제 상태로 긴급 의료 조치가 필요합니다.,2
"이 사람은 몸에 심각한 감염이 의심되며, 열이 나거나 맥박이 빠르거나 호흡이 어려운 등 세 가지 이상 문제가 있어요.",2
알려지지 않은 고위험 물질을 과다복용한 상황입니다.,2
환자가 안전하지 않으며 도주 위험이 있습니다.,2
중등도 호흡곤란으로 인해 불안정한 상태입니다.,2
혈압과 맥박 수치가 이상하게 측정됩니다.,2
열과 의식 변화를 동시에 보이고 있습니다.,2
경증 호흡곤란 증상이 지속되고 있습니다.,3
비정상적인 맥박수와 맥박압이 나타났으나 안정적입니다.,3
구체적인 계획은 없지만 자살관념이 있는 것으로 보입니다.,3
경증 호흡곤란과 함께 열이 동반되었습니다.,3
환자가 불안정하지는 않으나 비정상적인 맥박이 보입니다.,3
환자가 아파 보이지만 긴급한 상태는 아닙니다.,3
열이 지속되며 몸 상태가 점점 나빠지는 것 같습니다.,3
불안을 동반한 금단 증상이 보이고 있습니다.,3
호흡이 안정적이지만 이상 징후가 의심됩니다.,3
"이 사람은 열이 나고, 몸에서 감염이나 염증 반응으로 보이는 몇 가지 신호가 나타나고 있어요.",3
저독성 물질을 소량 복용한 것으로 보입니다.,4
과다복용 이후 특별한 이상 증상은 없습니다.,4
경미한 불안 증상을 보이며 환자는 안정되어 있습니다.,4
열이 조금 있으며 크게 아파 보이지는 않습니다.,4
급성 불면증으로 도움을 요청하고 있습니다,4
경증 불안과 초조 증상이 나타났습니다,4
환자가 안정되어 있고 특별한 위험 징후는 없습니다.,4
만성적인 불안 상태로 보이나 응급 상황은 아닙니다.,4
급성적인 스트레스 반응으로 도움이 필요합니다.,4
"이 사람은 열이 나지만 전반적으로 상태는 괜찮아 보입니다. 다만, 몸에서 감염이나 염증 반응으로 보이는 신호 한 가지가 나타나고 있어요.",4
만성적인 불면증으로 도움을 요청합니다.,5
사회적 문제로 인한 스트레스를 받고 있지만 상태는 안정적입니다.,5
만성 두통이 있으며 특별한 응급 증상은 없습니다.,5
눈 충혈과 경미한 통증이 지속되고 있습니다.,5
눈에 약간의 이물질이 있는 것으로 보입니다.,5
비급성 상태이며 만성적인 증상을 호소합니다.,5
경미한 통증과 불편함으로 병원을 방문하고자 합니다.,5
눈 충혈과 분비물이 있지만 응급 상황은 아닙니다.,5
만성적인 스트레스로 인해 약간의 초조함이 있습니다.,5
급성 증상이 아니라 만성적인 상태가 지속되고 있습니다.,5
환자가 심한 흉통을 느끼며 호흡이 힘들고 얼굴이 창백한 상태,1
환자가 극심한 두통을 앓고 있으며 의식이 혼미한 상태,1
"환자가 의식이 없고, 피부가 시퍼렇게 변한 상태",1
환자가 응급실에서 심한 출혈을 보이며 의식을 잃은 상태,1
환자가 심각한 알레르기 반응으로 얼굴이 부풀어 오른 상태,1
환자가 극심한 복통을 호소하며 턱이나 목으로 방사되는 통증을 느끼는 상태,1
환자가 혈압이 매우 낮아지고 피부가 차갑고 끈적한 상태,1
환자가 의식 수준이 크게 저하되어서 주위 사람의 소리를 듣지 못하는 상태,1
환자가 경미한 외상 후 혼수 상태 발생,1
환자가 심각한 교통사고의 생존자로서 대량 출혈 및 의식 저하 상태,1
환자가 사망 직전의 심각한 심혈관 사고로 입원한 상태,1
환자가 호흡 곤란으로 인해 산소 포화도가 급격히 떨어진 상태,1
환자가 심한 고열과 경련을 동반한 심각한 바이러스 감염 상태,1
환자가 뼈 골절로 인해 심한 통증과 쇼크 상태에 놓인 상태,1
환자가 발작 후 심한 혼수 상태에 이른 상태,1
환자가 심리적 충격으로 인해 의식을 잃고 있는 상태,1
환자가 중증 심부전으로 인한 극심한 호흡곤란,1
환자가 쇽으로 인해 의식이 혼란스럽고 맥박이 불규칙한 상태,1
환자가 급성 호흡부전으로 신속한 치료가 필요한 상태,1
환자가 심각한 탈수로 인해 기절할 위험에 처한 상태,1
환자가 심각한 각종 장기 손상을 동반한 상태로서 즉각적인 처치가 필요한 상황,1
환자가 심한 약물 중독으로 인한 반응 없음 상태,1
환자가 비정상적으로 빠른 심장 박동과 함께 호흡 곤란 상태,1
환자가 의식 잃은 상태에서 무의식적으로 반복적으로 경기를 일으키는 경우,1
환자가 합병증 발생 후 인공 호흡기를 필요로 하는 상태,1
환자가 심한 심장마비로 인한 신속한 CPR이 필요한 상태,1
환자가 대량 출혈로 인해 혈압이 급격히 떨어지는 상태,1
환자가 심한 화상으로 인해 쇼크 상태에 빠진 경우,1
환자가 급성 뇌졸중 증상으로 의식이 저하되고 편마비가 나타난 상태,1
환자가 심한 알레르기 반응으로 호흡곤란과 혈압 저하를 보이는 상태,1
환자가 심한 외상성 뇌손상으로 의식이 없고 동공이 확대된 상태,1
환자가 급성 심근경색으로 인해 극심한 흉통과 호흡곤란을 호소하는 상태,1
환자가 폐색전증으로 인해 갑작스러운 호흡곤란과 흉통을 겪는 상태,1
환자가 대동맥 박리로 인해 극심한 흉통과 쇼크 증상을 보이는 상태,1
환자가 심한 패혈증으로 인해 고열과 저혈압 상태에 있는 경우,1
환자가 급성 간부전으로 인해 의식이 혼미하고 황달이 심한 상태,1
환자가 급성 신부전으로 인해 호흡곤란과 부종이 심한 상태,1
환자가 심한 전해질 불균형으로 인해 부정맥과 의식 저하를 보이는 상태,1
환자가 급성 중독으로 인해 호흡 억제와 의식 저하를 보이는 상태,1
환자가 심한 두부 외상으로 인해 뇌압 상승과 의식 저하를 보이는 상태,1
환자가 급성 복부 대동맥류 파열로 인해 극심한 복통과 쇼크 상태에 있는 경우,1
환자가 심한 천식 발작으로 인해 호흡이 거의 불가능한 상태,1
환자가 급성 간염으로 인해 의식이 혼미하고 출혈 경향이 있는 상태,1
환자가 심한 당뇨병성 케톤산증으로 인해 의식이 저하되고 탈수가 심한 상태,1
환자가 급성 폐부종으로 인해 극심한 호흡곤란과 청색증을 보이는 상태,1
환자가 심한 외상성 출혈로 인해 혈압이 측정되지 않는 상태,1
